iter	Passed	Remaining
0	121	121770
1	123	61764
2	125	41629
3	126	31565
4	128	25592
5	130	21612
6	132	18765
7	134	16632
8	135	14957
9	137	13619
10	139	12525
11	140	11601
12	142	10842
13	144	10152
14	145	9577
15	147	9051
16	148	8583
17	149	8155
18	150	7779
19	151	7434
20	152	7121
21	153	6838
22	155	6584
23	155	6341
24	156	6115
25	157	5905
26	158	5716
27	159	5530
28	160	5359
29	160	5201
30	161	5055
31	162	4915
32	163	4779
33	163	4654
34	164	4532
35	165	4420
36	165	4313
37	166	4214
38	167	4117
39	167	4027
40	168	3940
41	169	3856
42	169	3778
43	170	3702
44	170	3628
45	171	3561
46	172	3494
47	172	3429
48	173	3370
49	174	3310
50	174	3254
51	175	3200
52	176	3148
53	176	3097
54	177	3048
55	177	3000
56	178	2954
57	179	2911
58	179	2868
59	180	2826
60	181	2788
61	181	2750
62	182	2712
63	182	2674
64	183	2640
65	184	2607
66	184	2574
67	185	2537
68	185	2507
69	186	2477
70	187	2447
71	187	2417
72	188	2389
73	188	2362
74	189	2335
75	189	2309
76	190	2284
77	191	2261
78	191	2236
79	192	2212
80	193	2190
81	193	2166
82	194	2145
83	194	2124
84	195	2101
85	195	2081
86	196	2059
87	196	2039
88	197	2020
89	198	2003
90	198	1985
91	199	1967
92	200	1950
93	200	1933
94	201	1916
95	201	1901
96	202	1885
97	203	1870
98	203	1854
99	204	1839
100	204	1824
101	205	1807
102	205	1793
103	206	1779
104	207	1766
105	207	1752
106	208	1739
107	209	1726
108	209	1713
109	210	1700
110	210	1688
111	211	1675
112	211	1663
113	212	1651
114	213	1639
115	213	1627
116	214	1616
117	214	1605
118	215	1593
119	215	1582
120	216	1572
121	216	1561
122	217	1549
123	217	1539
124	218	1528
125	219	1519
126	219	1509
127	220	1499
128	220	1490
129	221	1481
130	221	1472
131	222	1463
132	223	1454
133	223	1446
134	224	1437
135	224	1429
136	225	1420
137	225	1411
138	226	1403
139	227	1395
140	227	1387
141	228	1379
142	229	1373
143	229	1365
144	230	1358
145	230	1350
146	231	1343
147	232	1335
148	232	1328
149	233	1321
150	233	1314
151	234	1307
152	234	1300
153	235	1293
154	236	1287
155	236	1280
156	237	1273
157	237	1267
158	238	1260
159	238	1254
160	239	1247
161	239	1241
162	240	1234
163	241	1229
164	241	1222
165	242	1217
166	242	1211
167	243	1206
168	244	1200
169	244	1194
170	245	1189
171	245	1183
172	246	1177
173	247	1172
174	247	1167
175	248	1162
176	248	1157
177	249	1152
178	250	1146
179	250	1142
180	250	1135
181	251	1130
182	252	1125
183	252	1121
184	253	1116
185	254	1112
186	254	1107
187	255	1102
