iter	Passed	Remaining
0	152	152282
1	153	76782
2	155	51688
3	157	39110
4	157	31415
5	158	26284
6	159	22597
7	160	19844
8	160	17701
9	161	15993
10	162	14613
11	163	13473
12	164	12482
13	165	11621
14	165	10877
15	166	10222
16	166	9644
17	167	9139
18	169	8726
19	169	8328
20	171	7975
21	172	7661
22	173	7364
23	174	7079
24	174	6818
25	175	6573
26	176	6344
27	176	6134
28	177	5944
29	178	5766
30	179	5597
31	180	5445
32	180	5296
33	181	5155
34	182	5038
35	183	4922
36	184	4807
37	186	4717
38	187	4615
39	188	4512
40	188	4416
41	189	4329
42	190	4241
43	191	4158
44	192	4075
45	192	3995
46	193	3919
47	193	3846
48	194	3776
49	195	3709
50	196	3656
51	197	3603
52	198	3547
53	199	3492
54	200	3438
55	200	3384
56	201	3332
57	202	3284
58	202	3234
59	203	3188
60	204	3146
61	205	3107
62	206	3065
63	206	3025
64	207	2985
65	208	2946
66	208	2907
67	209	2870
68	210	2834
69	210	2800
70	211	2772
71	212	2741
72	213	2710
73	214	2680
74	214	2650
75	215	2622
76	216	2601
77	217	2574
78	218	2548
79	219	2523
80	220	2498
81	221	2474
82	221	2446
83	222	2421
84	222	2397
85	223	2373
86	223	2350
87	224	2327
88	225	2305
89	226	2288
90	227	2270
91	228	2253
92	229	2238
93	230	2223
94	231	2204
95	232	2186
96	232	2168
97	233	2149
98	234	2130
99	234	2113
100	235	2098
101	236	2081
102	237	2067
103	238	2050
104	238	2033
105	239	2017
106	239	2001
107	241	1991
108	242	1978
109	243	1966
110	244	1955
111	245	1944
112	246	1931
113	246	1918
114	247	1905
115	248	1892
116	248	1878
117	249	1866
118	250	1854
119	251	1844
120	252	1831
121	252	1818
122	253	1806
123	254	1794
124	254	1782
125	255	1773
126	256	1764
127	257	1755
128	258	1745
129	259	1734
130	259	1724
131	260	1714
132	261	1704
133	262	1694
134	262	1684
135	263	1675
136	264	1667
137	265	1658
138	266	1648
139	266	1638
140	267	1628
141	267	1617
142	268	1607
143	268	1598
